Date,Slot,Load,Temperature,Humidity
07022017,20,2333,0,0
07022017,21,2162,0,0
07022017,22,1991,0,0
07022017,23,1774,0,0
08022017,0,1600,0,0
08022017,1,1470,0,0
08022017,2,1391,0,0
08022017,3,1351,0,0
08022017,4,1373,0,0
08022017,5,1535,0,0
08022017,6,1742,0,0
08022017,7,1961,0,0
08022017,8,2132,0,0
08022017,9,2472,0,0
08022017,10,2645,0,0
08022017,11,2665,0,0
08022017,12,2602,0,0
08022017,13,2494,0,0
08022017,14,2524,0,0
08022017,15,2524,0,0
08022017,16,2526,0,0
08022017,17,2480,0,0
08022017,18,2482,0,0
08022017,19,2493,0,0
08022017,20,2421,0,0
08022017,21,2219,0,0
08022017,22,2028,0,0
08022017,23,1790,0,0
09022017,0,1632,0,0
09022017,1,1501,0,0
09022017,2,1429,0,0
09022017,3,1392,0,0
09022017,4,1409,0,0
09022017,5,1534,0,0
09022017,6,1772,0,0
09022017,7,1929,0,0
09022017,8,2194,0,0
09022017,9,2535,0,0
09022017,10,2623,0,0
09022017,11,2639,0,0
09022017,12,2604,0,0
09022017,13,2467,0,0
09022017,14,2499,0,0
09022017,15,2525,0,0
09022017,16,2516,0,0
09022017,17,2480,0,0
09022017,18,2491,0,0
09022017,19,2504,0,0
09022017,20,2391,0,0
09022017,21,2174,0,0
09022017,22,2045,0,0
09022017,23,1798,0,0
10022017,0,1638,0,0
10022017,1,1504,0,0
10022017,2,1431,0,0
10022017,3,1399,0,0
10022017,4,1413,0,0
10022017,5,1635,0,0
10022017,6,1776,0,0
10022017,7,1880,0,0
10022017,8,2223,0,0
10022017,9,2437,0,0
10022017,10,2691,0,0
10022017,11,2693,0,0
10022017,12,2656,0,0
10022017,13,2528,0,0
10022017,14,2524,0,0
10022017,15,2518,0,0
10022017,16,2525,0,0
10022017,17,2460,0,0
10022017,18,2461,0,0
10022017,19,2493,0,0
10022017,20,2407,0,0
10022017,21,2199,0,0
10022017,22,2026,0,0
10022017,23,1843,0,0
11022017,0,1698,0,0
11022017,1,1526,0,0
11022017,2,1460,0,0
11022017,3,1427,0,0
11022017,4,1432,0,0
11022017,5,1552,0,0
11022017,6,1734,0,0
11022017,7,1807,0,0
11022017,8,1953,0,0
11022017,9,2283,0,0
11022017,10,2433,0,0
11022017,11,2479,0,0
11022017,12,2417,0,0
11022017,13,2279,0,0
11022017,14,2261,0,0
11022017,15,2239,0,0
11022017,16,2228,0,0
11022017,17,2198,0,0
11022017,18,2262,0,0
11022017,19,2345,0,0
11022017,20,2241,0,0
11022017,21,2105,0,0
11022017,22,1966,0,0
11022017,23,1785,0,0
12022017,0,1629,0,0
12022017,1,1464,0,0
12022017,2,1408,0,0
12022017,3,1361,0,0
12022017,4,1371,0,0
12022017,5,1459,0,0
12022017,6,1552,0,0
12022017,7,1640,0,0
12022017,8,1731,0,0
12022017,9,1881,0,0
12022017,10,1975,0,0
12022017,11,1992,0,0
12022017,12,1938,0,0
12022017,13,1880,0,0
12022017,14,1810,0,0
12022017,15,1778,0,0
12022017,16,1749,0,0
12022017,17,1756,0,0
12022017,18,1862,0,0
12022017,19,2000,0,0
12022017,20,1997,0,0
12022017,21,1970,0,0
12022017,22,1877,0,0
12022017,23,1730,0,0
13022017,0,1542,0,0
13022017,1,1448,0,0
13022017,2,1356,0,0
13022017,3,1328,0,0
13022017,4,1338,0,0
13022017,5,1476,0,0
13022017,6,1694,0,0
13022017,7,1939,0,0
13022017,8,2159,0,0
13022017,9,2472,0,0
13022017,10,2620,0,0
13022017,11,2663,0,0
13022017,12,2628,0,0
13022017,13,2528,0,0
13022017,14,2562,0,0
13022017,15,2566,0,0
13022017,16,2562,0,0
13022017,17,2481,0,0
13022017,18,2469,0,0
13022017,19,2479,0,0
13022017,20,2416,0,0
13022017,21,2212,0,0
13022017,22,2081,0,0
13022017,23,1844,0,0
14022017,0,1687,0,0
14022017,1,1550,0,0
14022017,2,1477,0,0
14022017,3,1430,0,0
14022017,4,1446,0,0
14022017,5,1603,0,0
14022017,6,1807,0,0
14022017,7,2020,0,0
14022017,8,2253,0,0
14022017,9,2615,0,0
14022017,10,2731,0,0
14022017,11,2800,0,0
14022017,12,2744,0,0
14022017,13,2642,0,0
14022017,14,2664,0,0
14022017,15,2667,0,0
